"|","|__name","Lasana_y_canelones"
"Sprite","Refresco lima limón Sprite\nBotella 2 L\n1,59 €1,25 € /ud.",""
"","Refresco lima limón Sprite\n8 latas x 330 ml\n4,56 € /pack",""
"","Refresco lima limón Sprite\nLata 330 ml\n0,59 € /ud.",""
"","Refresco lima limón Hacendado fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco lima limón Hacendado fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco lima limón Hacendado fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco lima limón Hacendado zero azúcar fresh gas\nBotella 2 L\n0,95 € /ud.",""
"Fanta_de_naranja","Refresco Fanta naranja\n2 botellas x 2 L\n3,50 € /pack",""
"","Refresco Fanta naranja\nBotella 2 L\n1,79 € /ud.",""
"","Refresco Fanta naranja\n9 latas x 330 ml\n6,57 €5,76 € /pack",""
"","Refresco Fanta naranja\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco Fanta naranja zero azúcares añadidos\nBotella 2 L\n1,79 € /ud.",""
"","Refresco Fanta naranja zero azúcares añadidos\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco de naranja Hacendado fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de naranja Hacendado fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de naranja Hacendado fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco de naranja Hacendado zero fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de naranja Hacendado zero fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de naranja Hacendado zero fresh gas\nLata 330 ml\n0,35 € /ud.",""
"Arroz","Arroz redondo Hacendado\nPaquete 1 kg\n1,27 € /ud.",""
"","Arroz largo Hacendado\nPaquete 1 kg\n1,30 € /ud.",""
"","Arroz cocido basmati Sabroz\n2 vasitos x 125 g\n1,20 € /pack",""
"","Arroz cocido integral Sabroz\n2 vasitos x 125 g\n1,15 € /pack",""
"","Arroz bomba Hacendado\nPaquete 1 kg\n4,90 € /ud.",""
"","Quinoa cocida blanca y roja Sabroz\n2 vasitos x 125 g\n1,50 € /pack",""
"","Arroz cocido redondo Sabroz\n2 vasitos x 125 g\n1,15 € /pack",""
"","Arroz redondo J Sendra Hacendado\nPaquete 1 kg\n1,54 € /ud.",""
"","Arroz basmati aromático Hacendado\nPaquete 1 kg\n2,54 €2,44 € /ud.",""
"","Arroz integral redondo Hacendado\nPaquete 1 kg\n1,70 € /ud.",""
"","Cous cous mediano Bia\nCaja 1 kg\n1,90 €1,85 € /ud.",""
"","Arroz vaporizado Hacendado\nPaquete 1 kg\n1,54 € /ud.",""
"","Quinoa Hacendado\nPaquete 500 g\n2,65 € /ud.",""
"","Arroz redondo Sabroz\nPaquete 1 kg\n2,68 € /ud.",""
"","Arroz redondo SOS\nPaquete 1 kg\n1,80 € /ud.",""
"","Grano de avena cocida Sabroz\n2 vasitos x 125 g\n1,25 €1,20 € /pack",""
"Garbanzos","Garbanzo cocido Hacendado\nTarro 570 g (400 g escurrido)\n0,71 € /ud.",""
"","Garbanzo cocido Hacendado\nTarro 295 g (210 g escurrido)\n0,65 € /ud.",""
"","Garbanzo cocido pedrosillano Hacendado\nTarro 570 g (400 g escurrido)\n1,06 € /ud.",""
"","Garbanzo Hacendado\nPaquete 1 kg\n2,20 €2,15 € /ud.",""
"","Garbanzo pedrosillano Hacendado\nPaquete 1 kg\n1,95 € /ud.",""
"","Garbanzo lechoso andaluz Hacendado\nPaquete 1 kg\n2,75 €2,65 € /ud.",""
"Alubias","Alubia cocida blanca Hacendado\nTarro 570 g (400 g escurrido)\n0,69 € /ud.",""
"","Alubia cocida blanca Hacendado\nTarro 295 g (210 g escurrido)\n0,65 € /ud.",""
"","Alubia cocida roja Hacendado\nTarro 570 g (400 g escurrido)\n1,05 € /ud.",""
"","Alubia cocida pinta Hacendado\nTarro 570 g (400 g escurrido)\n1,10 € /ud.",""
"","Alubia blanca Hacendado\nPaquete 1 kg\n1,85 € /ud.",""
"","Alubia negra Hacendado\nPaquete 1 kg\n2,40 € /ud.",""
"","Alubia roja Hacendado\nPaquete 1 kg\n2,55 € /ud.",""
"","Alubia cocida granja Hacendado\nTarro 570 g (350 g escurrido)\n1,50 € /ud.",""
"","Alubia pinta Hacendado\nPaquete 1 kg\n2,16 € /ud.",""
"","Alubia granja Hacendado\nPaquete 500 g\n2,84 € /ud.",""
"Lentejas_y_otros","Lenteja pardina Hacendado\nPaquete 1 kg\n2,10 € /ud.",""
"","Lenteja cocida Hacendado\nTarro 570 g (400 g escurrido)\n0,87 €0,80 € /ud.",""
"","Lenteja cocida Hacendado\nTarro 295 g (210 g escurrido)\n0,75 €0,70 € /ud.",""
"","Soja texturizada grano fino Hacendado\nPaquete 250 g\n2,25 € /ud.",""
"","Lenteja Hacendado\nPaquete 1 kg\n1,88 € /ud.",""
"Fideos","Fideo cabello de ángel Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideuá Hacendado\nPaquete 500 g\n0,82 € /ud.",""
