Categoría,Nombre,Cantidad,Suma de Precio Inicio(€),Suma de Precio Oferta(€),Cantidad del precio,Supermercado,Fecha
Arroz,Arroz cocido basmati Sabroz,2 vasitos x 125 g,1.2,,pack,Mercadona,2024-03-11 00:00:00
Arroz,Arroz cocido integral Sabroz,2 vasitos x 125 g,1.15,,pack,Mercadona,2024-03-11 00:00:00
Arroz,Arroz cocido redondo Sabroz,2 vasitos x 125 g,1.15,,pack,Mercadona,2024-03-11 00:00:00
Arroz,Arroz integral redondo Hacendado,Paquete 1 kg,1.7,,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz largo Hacendado,Paquete 1 kg,1.3,,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz redondo Hacendado,Paquete 1 kg,1.27,,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz redondo J Sendra Hacendado,Paquete 1 kg,1.54,,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz redondo Sabroz,Paquete 1 kg,2.68,,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz redondo SOS,Paquete 1 kg,1.8,,ud.,Mercadona,2024-03-11 00:00:00
Arroz,Arroz vaporizado Hacendado,Paquete 1 kg,1.54,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Avena molida Hacendado,Paquete 500 g,1.11,,ud.,Mercadona,2024-03-11 00:00:00
Azucar,Azúcar blanco en sobres Hacendado,Caja 50 sticks (350 g),1.55,,ud.,Mercadona,2024-03-11 00:00:00
Azucar,Azúcar blanco Hacendado,Paquete 1 kg,1.45,,ud.,Mercadona,2024-03-11 00:00:00
Azucar,Azúcar glas Hacendado,Bote 500 g,2.6,,ud.,Mercadona,2024-03-11 00:00:00
Azucar,Azúcar moreno de caña en sobres Hacendado,Caja 50 sobres (350 g),1.6,,ud.,Mercadona,2024-03-11 00:00:00
Azucar,Azúcar moreno de caña Hacendado,Paquete 1 kg,1.95,,ud.,Mercadona,2024-03-11 00:00:00
Platano_y_uva,Banana,Pieza 184 g aprox.,0.27,,ud.,Mercadona,2024-03-11 00:00:00
Galletas_con_chocolate_y_rellenas,Barquillos con crema de avellanas Hacendado,Paquete 250 g,1.5,,ud.,Mercadona,2024-03-11 00:00:00
Galletas_con_chocolate_y_rellenas,Barquillos rellenos de chocolate Hacendado,Paquete 210 g,1,,ud.,Mercadona,2024-03-11 00:00:00
Galletas_con_chocolate_y_rellenas,Barquillos rellenos de nata Hacendado 0% azúcares añadidos,Paquete 210 g,1.1,,ud.,Mercadona,2024-03-11 00:00:00
Galletas_con_chocolate_y_rellenas,Barquillos rellenos sabor nata Hacendado,Paquete 210 g,1,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barrita con proteínas Enervit Sport sabor chocolate negro,Caja 3 barritas (180 g),4.9,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas 100% fruta de manzana y plátano Hacendado,Caja 3 barritas (90 g),1.75,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas con proteínas Enervit Sport sabor coco y chocolate,Caja 3 barritas (120 g),3.15,2.75,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de avena Hacendado con chocolate negro,Caja 6 paquetes (252 g),2.35,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de cereales con frutos secos Hacendado,Caja 6 barritas (150 g),1.65,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de cereales Hacendado chocolate con leche,Caja 6 barritas (120 g),1.4,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de cereales Hacendado con cacahuetes sabor caramelo,Caja 4 barritas (138 g),1.7,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de cereales Hacendado con chocolate blanco,Caja 6 barritas (127 g),1.3,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de cereales muesli Hacendado con chocolate,Caja 6 barritas (138 g),1.4,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de espelta Hacendado sabor manzana,Caja 6 barritas (120 g),1.5,,ud.,Mercadona,2024-03-11 00:00:00
Galletas_con_chocolate_y_rellenas,Barritas de galleta bañadas en chocolate con leche Chips Ahoy,Caja 5 barritas (140 g),1.25,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas de galleta rellenas de arándanos Hacendado,Caja 5 barritas (125 g),1.5,,ud.,Mercadona,2024-03-11 00:00:00
Barritas_de_cereales,Barritas Sustitutivo de comida Belladieta sabor avena y chocolate con leche,Caja 4 barritas (120 g),3.1,,ud.,Mercadona,2024-03-11 00:00:00
Patata,Batata,Pieza 424 g aprox.,0.89,,ud.,Mercadona,2024-03-11 00:00:00
Verduras_al_vapor,Batata para microondas,Paquete 400 g,2.4,,ud.,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate 90% leche Hacendado,6 mini bricks x 200 ml,1.65,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate 90% leche Hacendado,Botella 1 L,1.35,,ud.,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate 90% leche Puleva,6 mini bricks x 200 ml,2.75,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate ColaCao Energy,4 mini botellas x 188 ml,2.65,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate Hacendado,6 mini bricks x 200 ml,1.4,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate Hacendado,Botella 1 L,1.2,,ud.,Mercadona,2024-03-11 00:00:00
Batidos,Batido de chocolate Hacendado 0% sin azúcares añadidos,6 mini bricks x 200 ml,1.85,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido de vainilla Hacendado,6 mini bricks x 200 ml,1.55,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido sabor fresa Hacendado,6 mini bricks x 200 ml,1.55,,pack,Mercadona,2024-03-11 00:00:00
Batidos,Batido sabor fresa Hacendado,Botella 1 L,1.2,,ud.,Mercadona,2024-03-11 00:00:00
Batidos,Batido sabor vainilla Hacendado,Botella 1 L,1.2,,ud.,Mercadona,2024-03-11 00:00:00
Vinagre_y_otros_aderezos,Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,2.35,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de almendras Hacendado,6 bricks x 1 L,7.8,7.5,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de almendras Hacendado,Brick 1 L,1.3,1.25,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de almendras zero Hacendado,6 bricks x 1 L,8.1,7.8,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de almendras zero Hacendado,Brick 1 L,1.35,1.3,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de arroz sin azúcares añadidos Hacendado,6 bricks x 1 L,6.6,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de arroz sin azúcares añadidos Hacendado,Brick 1 L,1.1,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avellana y arroz sin azúcares añadidos Hacendado,6 bricks x 1 L,8.1,7.8,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avellana y arroz sin azúcares añadidos Hacendado,Brick 1 L,1.35,1.3,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena Alitey,3 mini bricks x 250 ml,1.5,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena Alitey,6 bricks x 1 L,5.7,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena Alitey,Brick 1 L,0.95,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena con café Hacendado,Vaso 250 ml,0.9,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena con chocolate Hacendado sin azucares añadidos,6 bricks x 1 L,7.2,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena con chocolate sin azúcares añadidos Hacendado,3 mini bricks x 250 ml,1.55,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena con chocolate sin azúcares añadidos Hacendado,Brick 1 L,1.2,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena Hacendado 0% azúcar,6 bricks x 1 L,4.8,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena Hacendado 0% azúcar,Brick 1 L,0.8,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena sin azúcares añadidos Hacendado,6 bricks x 1 L,7.2,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de avena sin azúcares añadidos Hacendado,Brick 1 L,1.2,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de chufa Hacendado sin azúcares añadidos,Brick 1 L,1.5,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de coco y arroz sin azúcares añadidos Hacendado,6 bricks x 1 L,9,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de coco y arroz sin azúcares añadidos Hacendado,Brick 1 L,1.5,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja 0% azúcares Hacendado,6 bricks x 1 L,4.8,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja 0% azúcares Hacendado,Brick 1 L,0.8,,ud.,Mercadona,2024-03-11 00:00:00
